"콘텐츠명","노키즈존","예약가능여부","룸보유여부","유아서비스기타","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","대표메뉴기타"
"카페엔다이닝채우다","","","","","09:00","19:00","09:00","19:00","","",""
"소반","","","","","","","","","","",""
"수국향","","","","","","","","","","",""
"간이옥돔역","","","","","11:00","19:00","11:00","19:00","","",""
"파스쿠찌 도남점","","","","","07:30","23:00","08:00","23:00","","",""
"어부랑누이랑","","","","","11:30","21:30","11:30","21:30","","",""
"탑부평","","","","","11:00","1:00","11:00","1:00","","",""
"피자란?","","","","","10:00","23:00","10:00","23:00","","",""
"고객식당","","","","","08:00","19:00","08:00","19:00","","",""
"곱들락","","","","","12:00","22:00","12:00","22:00","","",""
"수월봉 가마솥순대국","","","","","","","","","","",""
"다미회","","","","","10:00","22:00","10:00","22:00","","",""
"다해복국","","","","","07:00","22:00","07:00","22:00","","",""
"대포횟집","","","","","10:00","22:00","10:00","22:00","","",""
"감나무집","","","","","10:30","22:00","10:30","22:00","","",""
"공설식당","","","","","07:30","21:30","07:30","21:30","","",""
"모리노아루요","","","","","11:30","20:00","11:30","20:00","","",""
"민경이네어등포해녀촌","","","","","09:00","19:00","09:00","19:00","","",""
"행복한시저네","","","","","11:00","15:00","","","","",""
"헤이브라더","","","","","10:00","18:00","10:00","18:00","","",""
"홍도니","","","","","11:00","23:00","11:00","23:00","","",""
"동우네","","","","","08:00","22:30","08:00","22:30","","",""
"홍요깃거리카페","","","","","10:00","19:00","10:00","19:00","","",""
"딕시","","","","","11:00","01:00","11:00","01:00","","",""
"팜알로하","","","","","09:00","19:00","09:00","19:00","","",""
"만세국수","","","","","09:00","20:30","09:00","20:30","","",""
"국수와냉면","","","","","10:00","22:00","10:00","22:00","","",""
"그옛맛","","","","","09:00","20:00","09:00","20:00","","",""
"돈사촌 외도점","","y","","","13:00","24:00","13:00","24:00","","",""
"나무카페","","","","","10:00","18:00","10:00","18:00","","",""
"닐모리동동","","","","","11:00","23:00","11:00","23:00","","",""
"마두천손칼국수","","","","","09:00","18:00","09:00","18:00","","",""
"마진가","","","","","10:30","22:00","10:30","22:00","","",""
"맛나리","","","","","06:00","21:00","06:00","21:00","","",""
